Date,Open,High,Low,Close,Adj Close,Volume
2021-05-11,6400.0,6480.0,6305.0,6480.0,618.244.287.109.375,70680000
2021-05-17,6500.0,6500.0,6375.0,6500.0,6.201.525.390.625,129058500
2021-05-18,6400.0,6455.0,6365.0,6390.0,6.096.576.171.875,73563000
2021-05-19,6380.0,6400.0,6335.0,6345.0,605.364.306.640.625,64912500
2021-05-20,6390.0,6435.0,6350.0,6380.0,608.703.515.625,64950000
2021-05-21,6450.0,6450.0,6260.0,6360.0,60.679.541.015.625,92620000
2021-05-24,6355.0,6380.0,6290.0,6325.0,6.034.560.546.875,59210000
2021-05-25,6300.0,6440.0,6300.0,6355.0,606.318.359.375,87470000
2021-05-27,6440.0,6480.0,6270.0,6270.0,598.208.642.578.125,537971500
2021-05-28,6330.0,6370.0,6330.0,6340.0,604.887.158.203.125,102108500
2021-05-31,6360.0,6390.0,6325.0,6375.0,60.822.646.484.375,101442000
2021-06-02,6500.0,6515.0,6420.0,6465.0,61.681.318.359.375,141732500
2021-06-03,6495.0,6600.0,6430.0,6600.0,629.693.310.546.875,133810500
2021-06-04,6620.0,6620.0,6500.0,6580.0,62.778.515.625,62108500
2021-06-07,6560.0,6570.0,6430.0,6530.0,62.301.474.609.375,62576000
2021-06-08,6575.0,6575.0,6430.0,6430.0,61.347.392.578.125,64348000
2021-06-09,6360.0,6535.0,6360.0,6530.0,62.301.474.609.375,77198000
2021-06-10,6555.0,6620.0,6490.0,6620.0,63.160.146.484.375,73262500
2021-06-11,6570.0,6580.0,6460.0,6470.0,617.290.283.203.125,72780500
2021-06-14,6520.0,6520.0,6400.0,6410.0,611.565.771.484.375,61478500
2021-06-15,6445.0,6470.0,6405.0,6470.0,617.290.283.203.125,87799000
2021-06-16,6420.0,6435.0,6360.0,6385.0,60.918.056.640.625,48984000
2021-06-17,6390.0,6390.0,6275.0,6330.0,603.933.154.296.875,68448500
2021-06-18,6300.0,6345.0,6280.0,6325.0,6.034.560.546.875,118043000
2021-06-21,6300.0,6300.0,6210.0,6250.0,59.630.048.828.125,60823500
2021-06-22,6250.0,6390.0,6240.0,6340.0,604.887.158.203.125,65824000
2021-06-23,6295.0,6340.0,6230.0,6230.0,59.439.228.515.625,52451000
2021-06-24,6310.0,6310.0,6200.0,6210.0,592.484.130.859.375,56010000
2021-06-25,6230.0,6260.0,6190.0,6190.0,5.905.759.765.625,68939500
2021-06-28,6100.0,6150.0,6055.0,6055.0,577.695.947.265.625,84420500
2021-06-29,6050.0,6090.0,6040.0,6045.0,576.741.845.703.125,53704000
2021-06-30,6000.0,6070.0,6000.0,6025.0,574.833.642.578.125,65795000
2021-07-01,6060.0,6075.0,6000.0,6025.0,574.833.642.578.125,58153000
2021-07-02,6070.0,6140.0,6040.0,6100.0,5.819.892.578.125,67392500
2021-07-05,6100.0,6130.0,6070.0,6110.0,582.943.359.375,39710500
2021-07-06,6110.0,6110.0,6055.0,6055.0,577.695.947.265.625,34279500
2021-07-07,6180.0,6180.0,6030.0,6065.0,578.649.951.171.875,35595000
2021-07-08,6000.0,6040.0,5980.0,6015.0,573.879.541.015.625,47297000
2021-07-09,6010.0,6020.0,5990.0,6020.0,574.356.591.796.875,40707500
2021-07-12,6070.0,6180.0,6020.0,6170.0,588.667.822.265.625,65981500
2021-07-13,6170.0,6175.0,6015.0,6045.0,576.741.845.703.125,65946500
2021-07-14,6020.0,6030.0,5980.0,5990.0,571.494.384.765.625,59321000
2021-07-15,6000.0,6115.0,5995.0,6115.0,58.342.041.015.625,49724000
2021-07-16,6170.0,6170.0,6055.0,6110.0,582.943.359.375,47998500
2021-07-19,6110.0,6110.0,6005.0,6005.0,572.925.537.109.375,47119000
2021-07-21,6050.0,6120.0,6010.0,6010.0,573.402.490.234.375,55009500
2021-07-22,6115.0,6155.0,6050.0,6155.0,587.236.669.921.875,60792000
2021-07-23,6180.0,6190.0,6025.0,6035.0,575.787.744.140.625,79938000
2021-07-26,6040.0,6060.0,6005.0,6005.0,572.925.537.109.375,48171500
2021-07-27,6005.0,6060.0,6000.0,6005.0,572.925.537.109.375,53107500
2021-07-28,6005.0,6010.0,5970.0,5980.0,570.540.283.203.125,74133000
